customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MonthlyCharges,TotalCharges,Churn
54,Male,0,Yes,No,62,Yes,41.62,2653.41,0
55,Female,0,No,No,65,Yes,39.74,2725.74,0
56,Female,1,No,Yes,14,Yes,46.32,722.95,0
57,Female,0,Yes,No,48,Yes,35.39,1709.5,0
58,Male,0,Yes,No,20,Yes,101.45,2202.9,0
59,Female,0,No,No,65,Yes,59.05,3891.41,0
60,Male,0,No,Yes,15,Yes,50.49,740.41,0
61,Male,0,Yes,No,52,Yes,56.39,3010.86,0
62,Female,0,Yes,Yes,12,Yes,110.27,1415.11,0
63,Female,0,Yes,No,2,Yes,57.79,147.72,0
64,Male,0,Yes,No,66,No,46.4,3139.68,0
65,Female,1,No,No,40,Yes,28.08,1153.25,0
66,Female,0,Yes,Yes,21,Yes,79.73,1647.25,0
67,Female,0,Yes,Yes,4,Yes,85.4,443.45,1
68,Female,0,Yes,No,26,No,108.61,2970.8,0
69,Male,1,Yes,Yes,67,Yes,54.24,3752.34,0
70,Male,0,No,No,17,Yes,30.08,559.41,0
71,Female,0,No,No,61,Yes,59.95,3711.8,0
72,Female,0,No,No,13,Yes,86.52,1153.13,0
73,Male,0,No,Yes,28,Yes,29.18,842.7,0
74,Male,0,No,No,32,Yes,83.9,2687.37,0
75,Male,0,No,Yes,22,Yes,58.14,1312.29,0
76,Male,0,Yes,Yes,66,Yes,66.75,4497.08,0
77,Female,0,Yes,Yes,64,Yes,107.4,7056.37,0
78,Female,0,Yes,Yes,42,Yes,33.83,1461.24,0
79,Female,0,No,No,57,Yes,89.5,5183.13,0
80,Male,0,Yes,No,26,No,78.53,2137.33,0
81,Female,0,Yes,Yes,42,Yes,57.13,2453.93,0
82,Male,0,Yes,Yes,56,Yes,89.77,5131.21,0
83,Male,0,No,No,11,No,33.33,465.78,0
84,Female,0,No,No,46,Yes,66.56,3124.56,0
85,Female,0,No,No,56,Yes,115.94,6633.23,0
86,Male,0,No,No,62,Yes,49.39,3157.8,0
87,Female,0,Yes,No,35,Yes,96.09,3545.96,0
88,Female,0,Yes,Yes,23,Yes,108.52,2582.55,0
89,Male,0,Yes,No,1,Yes,66.38,89.93,0
90,Female,1,Yes,No,52,Yes,30.92,1673.7,0
91,Male,1,Yes,Yes,47,Yes,105.05,5040.74,0
92,Male,1,No,No,46,Yes,30.47,1424.89,0
93,Female,0,No,No,51,Yes,119.03,6252.82,0
94,Female,0,Yes,No,14,Yes,95.24,1540.18,0
95,Female,1,Yes,Yes,23,Yes,59.29,1386.35,0
96,Male,0,Yes,No,9,Yes,104.48,1016.12,1
97,Female,0,Yes,Yes,23,No,26.86,596.22,0
98,Female,0,No,Yes,50,Yes,32.11,1528.69,0
99,Male,1,No,No,40,Yes,77.21,3122.11,0
100,Female,1,Yes,No,17,Yes,75.57,1337.58,0
101,Female,1,Yes,No,43,Yes,110.86,4815.31,0
102,Female,0,No,No,33,Yes,54.5,1823.21,0
103,Female,0,Yes,No,65,Yes,65.03,4245.26,0
104,Male,1,Yes,No,20,Yes,47.49,985.78,0
105,Male,1,No,Yes,25,No,51.52,1351.44,0
106,Male,0,No,No,53,Yes,46.05,2489.57,0
107,Male,0,No,No,40,No,24.24,985.74,0
108,Male,0,No,No,22,Yes,95.67,2270.22,0
109,Female,0,No,Yes,25,Yes,32.5,945.85,0
110,Female,0,Yes,Yes,0,Yes,53.67,-21.01,0
111,Female,0,No,Yes,71,Yes,110.09,7845.21,0
112,Female,0,Yes,No,23,Yes,67.54,1692.87,0
113,Female,1,No,No,51,Yes,115.61,6034.28,0
114,Female,0,Yes,No,63,Yes,99.57,6379.78,0
115,Female,0,Yes,Yes,62,Yes,33.93,2150.5,0
116,Male,0,No,No,2,Yes,49.13,145.11,0
117,Male,1,No,No,18,Yes,37.9,776.27,0
118,Male,0,No,Yes,42,Yes,85.28,3645.3,0
119,Male,0,No,Yes,2,Yes,88.23,313.02,1
120,Male,1,Yes,No,29,Yes,65.78,1951.38,0
121,Male,0,No,Yes,1,No,84.67,222.22,1
122,Female,0,Yes,No,16,Yes,22.71,393.6,0
123,Female,0,No,No,49,No,118.5,5919.25,0
124,Female,0,No,Yes,9,Yes,68.61,710.58,0
125,Female,0,No,Yes,14,Yes,100.95,1542.87,0
126,Female,0,No,No,67,Yes,23.27,1650.46,0
127,Female,0,Yes,No,18,No,39.73,783.0,0
128,Male,0,Yes,No,39,Yes,98.94,3942.08,0
129,Male,0,Yes,Yes,54,Yes,110.64,6089.48,0
130,Female,0,Yes,Yes,50,Yes,75.23,3821.27,0
131,Female,0,Yes,Yes,35,Yes,53.52,1907.68,0
132,Male,0,No,No,48,Yes,117.78,5808.47,0
133,Male,0,Yes,Yes,8,Yes,34.36,286.86,0
134,Female,0,No,Yes,13,Yes,46.97,530.58,0
135,Male,0,No,No,10,Yes,34.21,367.56,0
136,Male,0,No,No,30,Yes,43.89,1331.93,0
137,Male,0,Yes,Yes,57,Yes,107.37,6267.4,0
138,Female,0,No,No,21,Yes,117.03,2582.24,0
139,Female,0,Yes,Yes,57,Yes,85.45,4982.29,0
140,Female,0,Yes,No,10,Yes,77.09,849.08,0
141,Female,0,No,Yes,16,Yes,66.98,1117.04,0
142,Female,0,Yes,No,20,Yes,109.73,2372.55,0
143,Male,0,No,No,60,Yes,42.67,2623.7,0
144,Female,0,No,Yes,41,Yes,52.46,2259.44,0
145,Male,0,No,No,12,Yes,117.34,1532.01,0
146,Female,0,No,No,55,No,79.21,4527.32,0
147,Male,0,Yes,No,8,Yes,117.01,1073.8,1
148,Male,0,Yes,No,56,Yes,26.83,1553.28,0
149,Male,0,Yes,No,32,Yes,86.83,2876.8,0
150,Female,0,Yes,Yes,56,Yes,20.91,1208.04,0
151,Female,0,No,No,48,Yes,69.32,3316.81,0
152,Female,0,No,No,69,No,55.8,3927.11,0
153,Male,0,Yes,Yes,56,Yes,80.53,4551.55,0
154,Female,0,Yes,No,23,No,41.55,916.78,0
155,Male,0,Yes,Yes,52,Yes,29.69,1619.56,0
156,Male,0,No,Yes,11,Yes,32.59,389.28,0
157,Male,0,Yes,No,14,Yes,50.13,750.35,0
158,Male,0,No,No,65,Yes,70.38,4601.81,0
159,Female,0,Yes,No,50,Yes,50.63,2489.32,0
160,Male,0,Yes,Yes,15,Yes,39.69,620.01,0
161,Female,0,No,No,2,Yes,27.88,218.26,0
162,Male,0,No,Yes,64,Yes,118.1,7761.88,0
163,Female,0,Yes,No,65,Yes,50.11,3331.44,0
164,Female,1,No,Yes,21,Yes,83.87,1892.12,0
165,Female,0,Yes,Yes,23,Yes,20.49,396.42,0
166,Male,1,Yes,No,42,Yes,57.46,2491.6,0
167,Male,0,Yes,Yes,1,Yes,73.83,145.4,0
168,Male,0,Yes,Yes,66,Yes,88.24,5935.28,0
169,Male,0,No,Yes,39,No,109.25,4505.95,0
170,Male,1,Yes,No,12,Yes,53.81,676.62,0
171,Male,0,No,Yes,21,Yes,78.03,1755.06,0
172,Female,0,No,No,27,Yes,79.17,2267.52,0
173,Male,0,No,Yes,11,Yes,118.0,1500.86,1
174,Male,0,No,No,16,Yes,90.09,1473.14,0
175,Female,0,Yes,Yes,51,No,61.16,3202.54,0
176,Male,0,Yes,No,23,Yes,58.34,1382.96,0
177,Male,0,No,Yes,25,Yes,44.81,1082.08,0
178,Female,0,No,No,45,Yes,93.55,4294.04,0
179,Female,0,Yes,No,63,No,27.27,1717.42,0
180,Male,0,No,No,65,Yes,100.18,6581.51,0
181,Male,0,No,Yes,13,Yes,114.78,1595.63,0
182,Male,0,No,Yes,8,Yes,40.1,400.33,0
183,Female,0,No,No,59,No,103.42,6188.13,0
184,Male,1,Yes,No,61,Yes,35.06,2225.95,0
185,Male,0,Yes,Yes,20,Yes,113.22,2376.65,0
186,Male,0,Yes,Yes,4,No,34.97,133.09,0
187,Male,0,No,Yes,63,Yes,39.65,2549.23,0
188,Female,0,Yes,No,20,Yes,88.51,1846.42,0
189,Male,0,No,Yes,14,Yes,92.67,1454.12,0
190,Male,1,Yes,Yes,0,Yes,79.88,60.37,0
191,Male,0,No,No,51,Yes,61.09,3110.81,0
192,Male,0,Yes,Yes,7,Yes,113.65,801.14,1
193,Female,0,Yes,No,35,Yes,27.02,929.69,0
194,Female,0,No,No,13,Yes,116.24,1629.36,0
195,Male,0,No,Yes,34,Yes,104.15,3680.76,0
196,Male,0,Yes,No,17,Yes,89.08,1655.91,0
197,Female,0,No,No,64,Yes,41.35,2703.73,0
198,Female,0,Yes,No,66,Yes,63.12,4247.47,0
199,Female,0,No,No,62,Yes,69.15,4329.74,0
200,Male,0,No,No,41,Yes,29.3,1117.65,0
201,Male,0,No,No,69,Yes,37.49,2634.37,0
202,Male,0,No,No,60,No,53.36,3306.11,0
203,Male,0,No,No,2,Yes,86.33,215.5,1
204,Male,1,No,Yes,2,Yes,39.65,45.62,0
205,Female,1,Yes,No,31,Yes,31.7,1032.27,0
206,Female,0,Yes,Yes,60,Yes,69.83,4257.86,0
207,Female,0,No,No,69,Yes,28.86,2002.25,0
208,Male,1,No,No,57,Yes,25.7,1487.93,0
209,Female,0,No,Yes,37,Yes,111.31,4228.66,0
210,Female,1,Yes,No,28,Yes,68.5,1974.21,0
211,Male,1,Yes,No,13,Yes,113.4,1615.85,0
212,Male,0,Yes,Yes,59,Yes,43.18,2622.17,0
213,Male,0,Yes,No,2,Yes,48.59,150.84,0
214,Female,0,No,Yes,30,Yes,117.87,3711.62,0
215,Female,0,Yes,No,57,Yes,59.98,3473.63,0
216,Male,1,No,No,45,No,78.38,3486.84,0
217,Female,0,Yes,No,67,No,39.39,2620.05,0
218,Female,0,No,Yes,46,No,101.05,4783.98,0
219,Female,0,Yes,Yes,68,Yes,41.52,2884.97,0
220,Male,0,Yes,No,42,Yes,70.43,3003.12,0
221,Female,1,Yes,Yes,57,Yes,92.03,5326.55,0
222,Female,0,No,Yes,55,Yes,64.22,3636.83,0
223,Female,0,Yes,Yes,63,Yes,29.59,1881.68,0
224,Female,0,Yes,Yes,67,Yes,86.8,5841.75,0
225,Male,0,Yes,No,29,Yes,48.86,1468.48,0
226,Female,0,No,No,58,Yes,65.16,3844.43,0
227,Male,0,Yes,Yes,55,Yes,49.16,2715.02,0
228,Male,0,Yes,Yes,48,Yes,117.7,5723.23,0
229,Female,1,No,No,12,Yes,42.5,634.23,0
230,Male,0,Yes,No,15,Yes,63.7,985.21,0
231,Female,0,Yes,Yes,59,Yes,29.02,1732.99,0
232,Male,0,Yes,No,2,Yes,45.75,160.59,0
233,Female,0,Yes,No,12,Yes,56.39,721.44,0
234,Female,0,No,Yes,17,Yes,40.28,732.2,0
235,Male,0,No,No,14,Yes,61.37,858.48,0
236,Female,0,No,Yes,50,Yes,116.54,5962.12,0
237,Female,1,Yes,No,28,Yes,66.05,1972.22,0
238,Male,0,No,Yes,49,Yes,76.83,3857.6,0
239,Female,0,Yes,Yes,19,Yes,117.01,2341.22,0
240,Female,0,No,Yes,63,Yes,36.98,2454.84,0
241,Female,0,Yes,No,30,Yes,74.61,2335.87,0
242,Male,0,Yes,No,11,Yes,107.35,1327.28,1
243,Female,0,No,No,60,Yes,95.98,5873.96,0
244,Male,0,Yes,Yes,70,Yes,37.13,2743.8,0
245,Female,0,No,No,40,Yes,38.67,1565.24,0
246,Male,0,No,Yes,36,Yes,101.59,3735.28,0
247,Female,0,No,Yes,34,Yes,88.73,3060.31,0
248,Female,0,Yes,Yes,70,Yes,76.43,5463.44,0
249,Female,0,No,Yes,63,Yes,83.26,5409.96,0
250,Female,0,No,Yes,62,Yes,81.45,5163.91,0
251,Female,0,Yes,No,62,Yes,105.4,6599.31,0
252,Female,0,No,Yes,57,No,62.43,3574.57,0
253,Male,0,No,No,28,Yes,96.1,2738.77,0
254,Male,0,No,No,24,Yes,67.27,1664.76,0
255,Female,0,Yes,No,40,No,94.96,3956.18,0
256,Female,0,No,No,25,Yes,115.44,2912.97,0
257,Male,0,No,No,33,Yes,68.4,2380.16,0
258,Male,0,No,No,33,No,38.23,1274.04,0
259,Male,0,Yes,Yes,62,No,64.9,4013.44,0
260,Female,0,No,Yes,32,Yes,32.13,1052.16,0
261,Female,0,No,Yes,51,Yes,69.89,3678.45,0
262,Male,0,Yes,Yes,4,No,51.98,281.52,0
263,Male,1,No,Yes,49,Yes,79.62,4005.77,0
264,Male,0,No,No,11,Yes,48.83,606.27,0
265,Male,0,Yes,No,37,Yes,91.73,3433.16,0
266,Male,0,No,Yes,24,Yes,34.3,891.08,0
267,Female,0,Yes,Yes,15,Yes,68.88,1109.83,0
268,Female,0,Yes,No,6,Yes,23.32,163.54,0
269,Female,0,Yes,Yes,11,Yes,28.34,277.47,0
270,Female,0,No,No,64,Yes,61.2,4068.36,0
271,Female,0,No,Yes,60,Yes,74.37,4586.08,0
272,Female,0,Yes,Yes,28,Yes,86.87,2565.48,0
273,Female,0,No,No,16,No,114.74,1964.51,0
274,Male,0,No,Yes,42,Yes,85.16,3639.75,0
275,Male,0,No,Yes,2,Yes,35.27,62.1,0
276,Female,0,No,Yes,64,Yes,57.22,3792.2,0
277,Male,0,No,Yes,0,Yes,95.29,99.19,1
278,Male,0,No,No,56,Yes,65.78,3727.84,0
279,Male,0,Yes,Yes,18,Yes,77.37,1393.46,0
280,Female,0,No,Yes,37,Yes,44.32,1655.82,0
281,Male,0,Yes,Yes,1,Yes,68.1,15.58,0
282,Female,0,No,Yes,25,No,31.1,846.98,0
283,Male,0,Yes,Yes,52,Yes,91.26,4787.23,0
284,Female,0,Yes,Yes,31,Yes,31.3,998.38,0
285,Male,1,No,Yes,48,Yes,107.43,5226.98,0
286,Male,0,No,No,34,Yes,43.02,1488.6,0
287,Male,1,Yes,No,26,No,37.25,977.16,0
288,Male,0,No,No,71,Yes,77.49,5523.24,0
289,Female,1,Yes,No,39,Yes,73.09,2969.97,0
290,Female,0,Yes,Yes,31,Yes,118.83,3861.69,0
291,Male,0,Yes,No,54,Yes,85.57,4620.78,0
292,Male,1,Yes,No,68,Yes,112.79,7962.28,0
293,Male,0,No,No,68,Yes,99.32,6872.45,0
294,Female,0,No,Yes,38,Yes,78.11,3044.92,0
295,Male,0,Yes,Yes,1,Yes,64.87,164.13,0
296,Female,0,No,No,32,Yes,31.49,1078.24,0
297,Female,0,Yes,No,31,No,44.91,1476.19,0
298,Male,0,Yes,No,52,Yes,96.11,5095.01,0
299,Male,0,No,Yes,36,Yes,116.27,4274.92,0
300,Female,0,No,Yes,18,Yes,20.26,404.83,0
301,Male,0,Yes,No,43,Yes,117.52,5122.6,0
302,Female,0,No,Yes,61,Yes,89.58,5508.24,0
303,Male,0,Yes,Yes,56,Yes,73.7,4214.97,0
304,Male,0,Yes,Yes,22,Yes,116.57,2613.3,0
305,Male,0,No,No,36,Yes,82.31,3050.8,0
306,Female,0,No,No,17,Yes,119.23,2175.28,0
307,Male,0,Yes,Yes,29,Yes,55.21,1579.96,0
308,Female,0,No,Yes,51,Yes,30.75,1591.15,0
309,Male,0,No,Yes,36,Yes,78.89,2897.88,0
310,Female,1,Yes,Yes,34,Yes,55.77,2025.05,0
311,Female,1,Yes,Yes,17,No,79.37,1492.62,0
312,Female,0,No,Yes,59,Yes,83.41,5028.64,0
313,Male,0,No,Yes,11,Yes,59.74,785.15,0
314,Female,0,Yes,Yes,10,Yes,75.92,809.49,0
315,Male,1,No,Yes,44,Yes,67.76,3101.96,0
316,Female,0,No,No,34,Yes,62.55,2245.29,0
317,Female,0,Yes,Yes,29,Yes,56.26,1746.64,0
318,Female,0,Yes,No,50,Yes,113.93,5795.39,0
319,Female,1,Yes,No,8,Yes,110.1,950.69,1
320,Male,1,No,Yes,59,Yes,33.32,1982.73,0
321,Male,0,Yes,No,28,Yes,118.86,3447.19,0
322,Female,0,No,No,11,Yes,92.47,1070.14,1
323,Male,0,Yes,Yes,28,Yes,78.58,2239.68,0
324,Male,1,No,Yes,45,Yes,43.58,2053.16,0
325,Male,0,No,No,47,Yes,112.24,5331.85,0
326,Male,0,No,Yes,15,Yes,86.7,1328.68,0
327,Female,0,Yes,Yes,26,Yes,78.31,2152.09,0
328,Female,0,No,No,22,Yes,79.45,1790.68,0
329,Male,0,No,Yes,63,Yes,67.5,4269.63,0
330,Female,0,Yes,No,1,No,40.79,35.72,0
331,Female,0,No,No,41,Yes,23.14,927.78,0
332,Male,0,Yes,Yes,52,No,113.74,6115.14,0
333,Male,0,Yes,No,17,Yes,25.36,427.94,0
334,Female,0,Yes,Yes,8,Yes,50.23,458.34,0
335,Female,0,No,Yes,36,No,46.49,1696.15,0
336,Female,0,Yes,Yes,24,Yes,36.45,856.6,0
337,Female,0,No,Yes,24,Yes,80.96,1981.42,0
338,Female,0,Yes,No,56,Yes,97.75,5563.46,0
339,Female,0,No,Yes,8,No,47.43,420.87,0
340,Female,0,Yes,Yes,48,Yes,95.97,4722.84,0
341,Male,0,No,Yes,49,Yes,40.16,2094.12,0
342,Male,1,Yes,Yes,25,Yes,92.95,2357.19,0
343,Male,0,Yes,No,22,Yes,71.54,1611.69,0
344,Male,0,Yes,Yes,53,Yes,80.44,4301.0,0
345,Male,0,No,No,40,Yes,70.81,2861.53,0
346,Male,0,No,No,4,Yes,83.5,520.31,1
347,Male,0,No,Yes,4,Yes,23.98,160.03,0
348,Female,0,Yes,Yes,3,Yes,93.83,363.59,1
349,Male,0,Yes,Yes,15,Yes,29.67,551.54,0
350,Male,0,No,No,32,Yes,71.14,2254.91,0
351,Male,0,Yes,Yes,22,Yes,107.8,2440.88,0
352,Male,0,Yes,No,8,No,93.37,882.13,1
353,Male,1,No,No,16,No,43.11,733.2,0
354,Female,0,Yes,Yes,21,Yes,86.75,1946.43,0
355,Female,0,No,No,65,Yes,64.35,4334.22,0
356,Female,0,Yes,No,44,Yes,27.23,1260.81,0
357,Female,0,No,No,65,Yes,31.74,2075.29,0
358,Male,0,Yes,Yes,55,Yes,63.82,3511.51,0
359,Male,0,No,No,45,Yes,100.13,4700.86,0
360,Male,0,Yes,No,36,Yes,110.08,4094.19,0
361,Female,0,Yes,Yes,37,Yes,101.58,3886.81,0
362,Male,0,No,No,26,Yes,76.76,2043.5,0
363,Female,0,No,Yes,12,Yes,62.37,790.12,0
364,Male,0,Yes,No,40,Yes,78.52,3286.78,0
365,Female,0,Yes,No,7,Yes,29.83,241.27,0
366,Male,0,No,Yes,71,Yes,51.33,3710.04,0
367,Male,0,No,No,50,Yes,73.24,3704.53,0
368,Male,0,Yes,Yes,11,Yes,92.71,1185.79,1
369,Male,0,No,Yes,37,Yes,69.3,2603.38,0
370,Male,0,No,Yes,29,Yes,65.66,2038.05,0
371,Male,0,No,No,58,Yes,93.96,5663.23,0
372,Female,0,No,Yes,51,Yes,44.32,2324.88,0
373,Male,1,Yes,Yes,19,Yes,68.96,1340.97,0
374,Male,0,Yes,No,50,No,117.67,5970.53,0
375,Male,0,Yes,No,45,Yes,54.47,2399.71,0
376,Female,0,Yes,No,41,Yes,28.28,1235.24,0
377,Male,0,Yes,No,21,Yes,89.24,1965.74,0
378,Female,0,Yes,No,55,Yes,84.14,4669.77,0
379,Female,0,Yes,No,3,Yes,56.13,265.96,0
380,Male,1,Yes,No,64,Yes,94.8,6187.61,0
381,Male,0,Yes,Yes,58,Yes,116.26,6807.73,0
382,Female,0,Yes,No,70,Yes,53.13,3803.4,0
383,Female,0,Yes,No,52,Yes,51.25,2777.1,0
384,Male,0,Yes,Yes,37,No,41.49,1581.12,0
385,Female,0,No,Yes,64,Yes,111.8,7261.0,0
386,Male,0,No,Yes,22,Yes,81.05,1823.14,0
387,Female,0,No,No,45,Yes,54.07,2591.04,0
388,Male,0,Yes,Yes,62,Yes,66.02,4256.09,0
389,Female,1,Yes,Yes,13,Yes,42.87,630.07,0
390,Female,0,No,Yes,6,Yes,54.09,363.42,0
391,Male,1,Yes,Yes,23,Yes,79.23,1870.75,0
392,Male,0,Yes,No,63,Yes,54.02,3454.67,0
393,Female,0,Yes,Yes,71,No,102.15,7331.85,0
394,Male,0,No,Yes,25,Yes,82.88,2111.75,0
395,Male,0,Yes,Yes,15,Yes,64.47,999.62,0
396,Male,0,Yes,No,21,Yes,47.06,1054.23,0
397,Male,0,No,Yes,9,Yes,61.41,670.21,0
398,Male,0,No,Yes,65,Yes,67.2,4522.44,0
399,Female,1,Yes,Yes,49,Yes,53.19,2656.36,0
400,Female,0,No,No,41,Yes,98.2,4111.36,0
401,Male,0,No,Yes,28,Yes,23.06,665.76,0
402,Male,0,No,Yes,9,Yes,60.59,606.7,0
403,Female,0,Yes,No,32,Yes,33.09,1096.48,0
404,Female,0,Yes,Yes,61,No,64.5,3938.83,0
405,Female,0,Yes,Yes,70,Yes,73.38,5239.95,0
406,Female,0,No,No,40,Yes,73.84,3058.81,0
407,Male,0,Yes,Yes,46,Yes,78.67,3740.04,0
408,Female,0,No,No,30,Yes,58.94,1809.53,0
409,Male,0,Yes,No,12,Yes,72.67,937.26,0
410,Female,0,No,No,19,Yes,91.75,1812.89,0
411,Male,0,No,Yes,29,No,101.88,3054.29,0
412,Male,0,Yes,Yes,23,Yes,77.05,1852.23,0
413,Female,0,No,No,60,Yes,42.34,2529.51,0
414,Male,0,Yes,Yes,31,Yes,60.98,1909.94,0
415,Female,0,No,No,59,Yes,65.42,3921.06,0
416,Male,0,No,Yes,4,Yes,40.22,239.87,0
417,Female,0,No,No,47,Yes,67.77,3214.3,0
418,Male,1,No,No,23,Yes,90.34,2142.44,0
419,Male,0,Yes,No,67,No,78.9,5504.58,0
420,Male,0,No,No,22,Yes,114.7,2721.02,0
421,Male,1,No,No,59,Yes,61.83,3595.23,0
422,Female,0,Yes,Yes,70,Yes,53.8,3849.45,0
423,Male,0,Yes,Yes,6,Yes,81.16,484.85,1
424,Male,0,No,Yes,7,Yes,97.78,738.24,1
425,Female,0,No,Yes,18,Yes,54.4,961.52,0
426,Female,0,Yes,Yes,23,Yes,113.19,2731.18,0
427,Female,0,Yes,Yes,10,Yes,94.36,1033.1,1
428,Female,0,No,Yes,24,No,78.54,1926.64,0
429,Female,0,Yes,No,32,Yes,21.95,771.38,0
430,Male,0,Yes,Yes,51,Yes,112.67,5842.22,0
431,Male,0,Yes,Yes,45,Yes,45.47,2081.62,0
432,Male,0,No,Yes,31,Yes,114.02,3625.59,0
433,Female,0,No,No,42,Yes,27.87,1250.54,0
434,Male,0,Yes,Yes,4,Yes,56.72,301.17,0
435,Female,0,No,Yes,57,Yes,99.84,5753.33,0
436,Female,1,No,No,27,Yes,27.67,751.59,0
437,Male,0,No,No,54,No,68.0,3717.21,0
438,Female,0,Yes,Yes,32,Yes,119.62,3941.68,0
439,Female,0,Yes,Yes,48,Yes,39.36,1902.71,0
440,Male,1,No,No,11,No,63.25,886.06,0
441,Male,0,Yes,No,11,Yes,47.18,528.03,0
442,Female,0,No,Yes,47,Yes,65.26,3059.55,0
443,Female,0,Yes,Yes,9,Yes,54.14,512.95,0
444,Male,0,No,No,2,Yes,78.63,242.25,0
445,Female,0,No,No,45,Yes,92.4,4231.78,0
446,Female,0,Yes,Yes,7,No,71.57,569.58,0
447,Female,0,No,No,10,Yes,38.68,476.85,0
448,Female,1,No,Yes,15,Yes,22.25,253.95,0
449,Male,0,No,Yes,17,Yes,31.79,665.45,0
450,Female,0,Yes,No,36,Yes,61.88,2255.22,0
451,Male,0,Yes,No,11,Yes,49.25,648.21,0
452,Male,0,Yes,No,25,Yes,106.79,2770.31,0
453,Male,0,No,No,0,Yes,91.44,-15.09,1
454,Male,0,No,No,3,No,115.46,385.79,1
455,Male,0,No,Yes,6,Yes,59.73,423.63,0
456,Female,0,No,No,29,Yes,101.97,3044.54,0
457,Male,0,No,No,24,Yes,61.1,1576.23,0
458,Male,0,No,Yes,62,Yes,25.68,1605.21,0
459,Male,0,No,No,18,Yes,25.43,479.35,0
460,Male,0,Yes,No,12,Yes,23.7,271.64,0
461,Female,0,No,Yes,42,Yes,102.23,4455.67,0
462,Male,0,No,Yes,14,Yes,98.04,1481.87,0
463,Male,0,Yes,Yes,60,Yes,23.71,1472.6,0
464,Female,0,No,No,32,No,101.86,3375.04,0
465,Male,1,Yes,No,23,Yes,67.67,1614.12,0
466,Female,1,Yes,Yes,7,Yes,96.13,727.7,1
467,Female,0,Yes,No,67,Yes,86.58,5823.5,0
468,Male,0,Yes,Yes,4,Yes,112.11,644.25,1
469,Female,0,No,No,17,Yes,34.08,717.18,0
470,Male,0,Yes,No,56,Yes,73.73,4238.56,0
471,Female,0,No,No,46,Yes,69.24,3193.18,0
